#gene_id	isoform_psi_value
ENSMUSG00000028066	ENSMUST00000193338:0.5184646871540239,ENSMUST00000056370:0.06932273838914674,ENSMUST00000192365:0.029458037376886417,ENSMUST00000195899:0.18680880471862626,ENSMUST00000192909:0.0,ENSMUST00000198774:0.0642055984068139,ENSMUST00000191622:0.13174013395450285
ENSMUSG00000050144	ENSMUST00000168755:0.3721259518064951,ENSMUST00000193433:6.33773615618703e-06,ENSMUST00000195657:0.2543724670396265,ENSMUST00000057935:0.37349524341772217
ENSMUSG00000106568	ENSMUST00000199370:1.0
ENSMUSG00000028064	ENSMUST00000029700:0.027104835898177422,ENSMUST00000156108:0.08931816681662669,ENSMUST00000135539:0.033761491928290845,ENSMUST00000149145:0.18513205116567819,ENSMUST00000107531:0.007023277147474603,ENSMUST00000166237:0.015100980930469103,ENSMUST00000165898:0.0,ENSMUST00000169222:0.0,ENSMUST00000185137:0.16678049281195523,ENSMUST00000135732:0.056517920437789276,ENSMUST00000184487:0.015623479361800554,ENSMUST00000127436:0.0,ENSMUST00000184876:0.0,ENSMUST00000147200:0.0,ENSMUST00000125526:0.013109798990039079,ENSMUST00000184972:0.32235270280512246,ENSMUST00000141471:0.03616940453826633,ENSMUST00000123753:0.0,ENSMUST00000146921:0.032005397168310176
ENSMUSG00000098655	ENSMUST00000183768:0
ENSMUSG00000103304	ENSMUST00000193850:1.0
ENSMUSG00000028063	ENSMUST00000147537:0.11595923666214288,ENSMUST00000029699:0.3215343732270399,ENSMUST00000135494:0.0,ENSMUST00000150496:0.0,ENSMUST00000120377:0.046529320763346,ENSMUST00000036252:0.4726690179368206,ENSMUST00000149068:0.043308051410650465
ENSMUSG00000103115	ENSMUST00000193595:1.0
ENSMUSG00000074480	ENSMUST00000172699:1.0
ENSMUSG00000084728	ENSMUST00000122779:0
ENSMUSG00000008601	ENSMUST00000008745:0.0,ENSMUST00000131775:0.6517972769392417,ENSMUST00000141371:0.3482027230607583,ENSMUST00000149724:0.0
ENSMUSG00000028062	ENSMUST00000145548:0.05372775396292139,ENSMUST00000029698:0.0,ENSMUST00000119002:0.3401857167740687,ENSMUST00000156421:0.435958879924977,ENSMUST00000145172:0.17012764933803273
ENSMUSG00000008604	ENSMUST00000008748:0.7292863438085567,ENSMUST00000194303:0.06262312924568002,ENSMUST00000192962:0.0,ENSMUST00000192687:0.028382173379825494,ENSMUST00000195498:0.17970835356593762
ENSMUSG00000041355	ENSMUST00000192688:0.0,ENSMUST00000193069:0.0,ENSMUST00000194604:0.017974137918599052,ENSMUST00000195014:0.4944912924866457,ENSMUST00000193934:0.0,ENSMUST00000192495:0.17632257720877714,ENSMUST00000035785:0.3112119923859781
ENSMUSG00000074479	ENSMUST00000098952:1.0
ENSMUSG00000028059	ENSMUST00000212392:0.0,ENSMUST00000176226:0.0,ENSMUST00000175749:0.0,ENSMUST00000175903:0.0,ENSMUST00000176514:0.0,ENSMUST00000177023:0.0,ENSMUST00000176539:0.0,ENSMUST00000177498:0.0,ENSMUST00000176500:0.0,ENSMUST00000175779:0.0,ENSMUST00000029694:0.5783775356767896,ENSMUST00000176804:0.0,ENSMUST00000177418:0.0,ENSMUST00000107510:1.090514521438003e-09,ENSMUST00000170653:0.11297229138716874,ENSMUST00000176401:0.0,ENSMUST00000176400:0.07058144936578277,ENSMUST00000177303:0.0,ENSMUST00000176307:0.0,ENSMUST00000175911:0.0,ENSMUST00000176243:0.0864980091394162,ENSMUST00000176316:0.0,ENSMUST00000177120:0.0,ENSMUST00000176879:0.0,ENSMUST00000175745:0.0,ENSMUST00000176528:0.0,ENSMUST00000176079:0.0,ENSMUST00000176123:0.0,ENSMUST00000177091:0.060874173188128676,ENSMUST00000176301:0.0,ENSMUST00000177099:0.09069654015219954,ENSMUST00000176272:0.0
ENSMUSG00000093390	ENSMUST00000177314:0
